row_id,design,iteration,p_value,significant,effect_size,table_row,p_value_formatted,effect_size_formatted,significance_indicator
1,crossover,1,0.0029929861134569825,TRUE,-0.2987085409149811,1,0.002993,-0.2987,*
1,hybrid,1,0.4060819273873699,FALSE,0.0816631802392329,2,0.406082,0.0817,
2,crossover,2,3.551935700320707e-4,TRUE,-0.30547871471103555,3,0.000355,-0.3055,*
2,hybrid,2,0.1273976620505776,FALSE,-0.13722930968374097,4,0.127398,-0.1372,
3,crossover,3,0.4266288454395807,FALSE,-0.07408105140868569,5,0.426629,-0.0741,
3,hybrid,3,0.8997466171170498,FALSE,0.01397683538279513,6,0.899747,0.0140,
4,crossover,4,0.2144178226052453,FALSE,-0.12343711776794473,7,0.214418,-0.1234,
4,hybrid,4,0.5001964937038966,FALSE,0.07696802105963231,8,0.500196,0.0770,
5,crossover,5,0.8632770871375256,FALSE,-0.019566360656799883,9,0.863277,-0.0196,
5,hybrid,5,0.19606585760735837,FALSE,0.13686963438932437,10,0.196066,0.1369,
6,crossover,6,0.013088623000305234,TRUE,0.2358530887015715,11,0.013089,0.2359,*
6,hybrid,6,0.022211237199683737,TRUE,0.23844819517854748,12,0.022211,0.2384,*
7,crossover,7,0.3376647157859416,FALSE,-0.09485725538194911,13,0.337665,-0.0949,
7,hybrid,7,0.06573446011915775,FALSE,0.1795615666956774,14,0.065734,0.1796,
8,crossover,8,0.1518556179562825,FALSE,0.16281683277233647,15,0.151856,0.1628,
8,hybrid,8,0.9579837824582793,FALSE,-0.0054635874974275364,16,0.957984,-0.0055,
9,crossover,9,0.9922596539699545,FALSE,8.558835898326926e-4,17,0.992260,0.0009,
9,hybrid,9,0.31113456386623095,FALSE,0.10961668875550168,18,0.311135,0.1096,
10,crossover,10,0.926624587561339,FALSE,0.009308840714827496,19,0.926625,0.0093,
10,hybrid,10,0.3475882772623663,FALSE,-0.1057622304362479,20,0.347588,-0.1058,
11,crossover,11,0.18033980867037766,FALSE,-0.1339586135814746,21,0.180340,-0.1340,
11,hybrid,11,0.30419063901043053,FALSE,0.11526657858130425,22,0.304191,0.1153,
12,crossover,12,0.3436666503194915,FALSE,-0.09605620974854794,23,0.343667,-0.0961,
12,hybrid,12,0.10844322488263182,FALSE,-0.14960649347386545,24,0.108443,-0.1496,
13,crossover,13,0.8750585775186711,FALSE,0.01601668556592148,25,0.875059,0.0160,
13,hybrid,13,0.24650991382322313,FALSE,0.12639482786912187,26,0.246510,0.1264,
14,crossover,14,0.008733338245867677,TRUE,-0.25137065940527653,27,0.008733,-0.2514,*
14,hybrid,14,0.367311181350634,FALSE,0.09575043638987929,28,0.367311,0.0958,
15,crossover,15,1.095072722634852e-6,TRUE,-0.4512655323507994,29,0.000001,-0.4513,*
15,hybrid,15,0.18864027466766461,FALSE,0.12914124145594344,30,0.188640,0.1291,
16,crossover,16,0.5737954964829617,FALSE,-0.05091019520743766,31,0.573795,-0.0509,
16,hybrid,16,0.14788870464405593,FALSE,-0.14718748661491718,32,0.147889,-0.1472,
17,crossover,17,0.33168280218865465,FALSE,0.0974017398081034,33,0.331683,0.0974,
17,hybrid,17,0.004003762916165129,TRUE,-0.2931193080362475,34,0.004004,-0.2931,*
18,crossover,18,0.12686850143992945,FALSE,-0.16059609147710163,35,0.126869,-0.1606,
18,hybrid,18,1.0887732350085819e-4,TRUE,0.3817103564885205,36,0.000109,0.3817,*
19,crossover,19,0.6451356449101616,FALSE,0.04154153232599879,37,0.645136,0.0415,
19,hybrid,19,0.40249519164071257,FALSE,-0.09517256468200445,38,0.402495,-0.0952,
20,crossover,20,0.3604300566644191,FALSE,0.08538484322860525,39,0.360430,0.0854,
20,hybrid,20,0.02334589466199416,TRUE,0.21073883577679997,40,0.023346,0.2107,*
21,crossover,21,0.05226083016510379,FALSE,0.22669258402854858,41,0.052261,0.2267,
21,hybrid,21,0.07001905368290419,FALSE,-0.1917735589697881,42,0.070019,-0.1918,
22,crossover,22,0.9615049594923432,FALSE,0.004873673378475132,43,0.961505,0.0049,
22,hybrid,22,0.21970660579559478,FALSE,0.13046181575996876,44,0.219707,0.1305,
23,crossover,23,0.38563244837920196,FALSE,-0.09775412554618183,45,0.385632,-0.0978,
23,hybrid,23,0.8706612413399824,FALSE,0.016045227518573048,46,0.870661,0.0160,
24,crossover,24,0.8227032670881721,FALSE,0.020795849327262993,47,0.822703,0.0208,
24,hybrid,24,0.19739140067556163,FALSE,-0.1431349954764908,48,0.197391,-0.1431,
25,crossover,25,0.5145025692449746,FALSE,-0.06330600365264116,49,0.514503,-0.0633,
25,hybrid,25,0.8334843706517883,FALSE,-0.01998514254180774,50,0.833484,-0.0200,
26,crossover,26,0.6993023835609739,FALSE,-0.03599469598784984,51,0.699302,-0.0360,
26,hybrid,26,0.174505912596874,FALSE,0.13080140512829078,52,0.174506,0.1308,
27,crossover,27,0.37181970247750207,FALSE,0.08042019969557687,53,0.371820,0.0804,
27,hybrid,27,0.6306972441992235,FALSE,0.051490831613084855,54,0.630697,0.0515,
28,crossover,28,0.7342289094091917,FALSE,0.03537966587378039,55,0.734229,0.0354,
28,hybrid,28,0.4293439853422599,FALSE,0.08250271785905314,56,0.429344,0.0825,
29,crossover,29,0.8358863508254055,FALSE,-0.017690057579088446,57,0.835886,-0.0177,
29,hybrid,29,0.7063616507723678,FALSE,0.0440170359046539,58,0.706362,0.0440,
30,crossover,30,0.305000657769442,FALSE,0.0996470909147851,59,0.305001,0.0996,
30,hybrid,30,0.19893141197148384,FALSE,-0.11284472009024014,60,0.198931,-0.1128,
31,crossover,31,0.5710177918871351,FALSE,-0.055417214008315674,61,0.571018,-0.0554,
31,hybrid,31,0.37936425838886445,FALSE,0.0889458621671363,62,0.379364,0.0889,
32,crossover,32,0.17963669784186748,FALSE,0.1281942977377287,63,0.179637,0.1282,
32,hybrid,32,1.5786967480153314e-5,TRUE,0.4374587470267329,64,0.000016,0.4375,*
33,crossover,33,0.037179558549149984,TRUE,0.16669362360934822,65,0.037180,0.1667,*
33,hybrid,33,0.08944128275371474,FALSE,0.15766935091602338,66,0.089441,0.1577,
34,crossover,34,0.9491343709590759,FALSE,-0.006321911333009341,67,0.949134,-0.0063,
34,hybrid,34,0.12721775084366885,FALSE,-0.13888789363933365,68,0.127218,-0.1389,
