analysis	regime	cell_id	m_PB	m_TV	N	c_bm	n_reps	n_converged	conv_rate	power	mcse_power	mean_beta	bias	mcse_bias	coverage
one_component	alt	1	0	-1	35	0.45	250	250	1	0.596	0.0310344324903807	-2.20594868800228	0.0440513119977202	0.0530870773904481	0.976
phase_augmented	alt	1	0	-1	35	0.45	250	250	1	0.324	0.029598918899176	-2.22615442943652	0.0238455705634792	0.0834971535877187	0.964
one_component	alt	2	0	-1	70	0.45	250	250	1	0.96	0.0123935467078637	-2.29169848263626	-0.0416984826362601	0.0368106112830366	0.968
phase_augmented	alt	2	0	-1	70	0.45	250	250	1	0.628	0.0305690039091888	-2.3104269331238	-0.0604269331238028	0.0588697961067157	0.96
one_component	alt	3	0	-1	100	0.45	250	250	1	1	0	-2.24135123026255	0.00864876973744622	0.017318149004064	0.972
phase_augmented	alt	3	0	-1	100	0.45	250	250	1	0.996	0.00399199198395989	-2.22299035728878	0.0270096427112168	0.024996128128409	0.972
one_component	alt	4	0	-1	150	0.45	250	250	1	1	0	-2.26927065058453	-0.0192706505845281	0.0124994913991185	0.976
phase_augmented	alt	4	0	-1	150	0.45	250	250	1	1	0	-2.25901690690808	-0.00901690690807966	0.0194241154331686	0.976
one_component	alt	5	0	0	35	0.45	250	250	1	0.664	0.0298733325894518	-2.26798064365951	-0.0179806436595129	0.0520476346162123	0.988
phase_augmented	alt	5	0	0	35	0.45	250	250	1	0.388	0.0308192147855847	-2.26126324290743	-0.011263242907432	0.0803916892854405	0.96
one_component	alt	6	0	0	70	0.45	250	250	1	0.916	0.0175435458217545	-2.22280946425079	0.0271905357492144	0.039331855505108	0.972
phase_augmented	alt	6	0	0	70	0.45	250	250	1	0.62	0.0306985341669598	-2.20888788232209	0.0411121176779141	0.0626890368830289	0.952
one_component	alt	7	0	0	100	0.45	250	250	1	1	0	-2.25678293382141	-0.00678293382140849	0.0165757910657941	0.98
phase_augmented	alt	7	0	0	100	0.45	250	250	1	1	0	-2.2781763621014	-0.0281763621013953	0.0235766078093783	0.988
one_component	alt	8	0	0	150	0.45	250	250	1	1	0	-2.23519906865586	0.0148009313441402	0.0133145656792606	0.988
phase_augmented	alt	8	0	0	150	0.45	250	250	1	1	0	-2.23454829519366	0.0154517048063441	0.020074062917859	0.984
one_component	alt	9	0	1	35	0.45	250	250	1	0.572	0.0312931941482489	-2.23116216355196	0.0188378364480357	0.0534365701350616	0.988
phase_augmented	alt	9	0	1	35	0.45	250	250	1	0.356	0.0302829324867986	-2.27575684280123	-0.0257568428012345	0.089576688358968	0.96
one_component	alt	10	0	1	70	0.45	250	250	1	0.936	0.0154795348767332	-2.24928585494385	0.00071414505614964	0.0381547994619068	0.968
phase_augmented	alt	10	0	1	70	0.45	250	250	1	0.616	0.0307599739921867	-2.26172455680446	-0.0117245568044582	0.0577843190057098	0.972
one_component	alt	11	0	1	100	0.45	250	250	1	1	0	-2.23758815847248	0.0124118415275212	0.0156138081970771	0.976
phase_augmented	alt	11	0	1	100	0.45	250	250	1	1	0	-2.22482998462697	0.0251700153730323	0.0243137613086142	0.976
one_component	alt	12	0	1	150	0.45	250	250	1	1	0	-2.25747996830779	-0.0074799683077944	0.0138516993806337	0.964
phase_augmented	alt	12	0	1	150	0.45	250	250	1	1	0	-2.26386285713466	-0.0138628571346602	0.0188354040095805	0.98
one_component	alt	13	0	2	35	0.45	250	250	1	0.668	0.0297842911616174	-2.37143295419952	-0.121432954199517	0.0567996352318064	0.972
phase_augmented	alt	13	0	2	35	0.45	250	250	1	0.416	0.0311733219275713	-2.45184605952262	-0.201846059522616	0.0876194045387885	0.952
one_component	alt	14	0	2	70	0.45	250	250	1	0.884	0.0202528022752408	-2.249827221498	0.000172778501996707	0.0390219238851462	0.976
phase_augmented	alt	14	0	2	70	0.45	250	250	1	0.62	0.0306985341669598	-2.22335135605244	0.0266486439475626	0.0616070321678523	0.94
one_component	alt	15	0	2	100	0.45	250	250	1	1	0	-2.24160471509045	0.00839528490955344	0.0173304666236355	0.952
phase_augmented	alt	15	0	2	100	0.45	250	250	1	1	0	-2.25088281892549	-0.000882818925486362	0.0249965886386684	0.968
one_component	alt	16	0	2	150	0.45	250	250	1	1	0	-2.25257235634286	-0.00257235634285591	0.0137064549119688	0.972
phase_augmented	alt	16	0	2	150	0.45	250	250	1	1	0	-2.23676146632126	0.0132385336787446	0.0189210508392622	0.992
one_component	alt	17	1	-1	35	0.45	250	250	1	0.64	0.0303578655376164	-2.3261736429339	-0.0761736429338966	0.0580442635541714	0.964
phase_augmented	alt	17	1	-1	35	0.45	250	250	1	0.412	0.0311291503256995	-2.38402620745429	-0.134026207454288	0.0932446954408432	0.932
one_component	alt	18	1	-1	70	0.45	250	250	1	0.924	0.0167599522672351	-2.21441980799257	0.0355801920074326	0.0372501970272514	0.984
phase_augmented	alt	18	1	-1	70	0.45	250	250	1	0.568	0.031328964234395	-2.13190015067162	0.118099849328384	0.0588572451148244	0.976
one_component	alt	19	1	-1	100	0.45	250	250	1	1	0	-2.23921158949278	0.0107884105072178	0.0170700208420205	0.968
phase_augmented	alt	19	1	-1	100	0.45	250	250	1	1	0	-2.23828963953979	0.0117103604602091	0.0244651178476724	0.976
one_component	alt	20	1	-1	150	0.45	250	250	1	1	0	-2.24106815325958	0.00893184674042402	0.0140884290512049	0.968
phase_augmented	alt	20	1	-1	150	0.45	250	250	1	1	0	-2.23941316284676	0.010586837153244	0.0209018271093285	0.98
one_component	alt	21	1	0	35	0.45	250	250	1	0.616	0.0307599739921867	-2.21564351419283	0.0343564858071743	0.0548619553217971	0.976
phase_augmented	alt	21	1	0	35	0.45	250	250	1	0.316	0.0294036732399202	-2.21696473906216	0.0330352609378393	0.0842977806273493	0.952
one_component	alt	22	1	0	70	0.45	250	250	1	0.912	0.0179171426293369	-2.25231444421683	-0.00231444421683191	0.0387470128252601	0.968
phase_augmented	alt	22	1	0	70	0.45	250	250	1	0.628	0.0305690039091888	-2.2598951848891	-0.00989518488910157	0.0608247470427192	0.96
one_component	alt	23	1	0	100	0.45	250	250	1	1	0	-2.23786100669285	0.0121389933071523	0.017395168198353	0.96
phase_augmented	alt	23	1	0	100	0.45	250	250	1	1	0	-2.22278891469328	0.0272110853067198	0.0244918345082956	0.964
one_component	alt	24	1	0	150	0.45	250	250	1	1	0	-2.23820584500902	0.0117941549909819	0.013837455979874	0.984
phase_augmented	alt	24	1	0	150	0.45	250	250	1	1	0	-2.23784375750773	0.0121562424922694	0.019488515827191	0.988
one_component	alt	25	1	1	35	0.45	250	250	1	0.624	0.0306348820790941	-2.26109480634495	-0.0110948063449521	0.0531431304914489	0.976
phase_augmented	alt	25	1	1	35	0.45	250	250	1	0.352	0.0302056948273004	-2.25052130442521	-0.000521304425207703	0.0840619280157049	0.96
one_component	alt	26	1	1	70	0.45	250	250	1	0.916	0.0175435458217545	-2.24206980453261	0.00793019546739426	0.0380320003542585	0.972
phase_augmented	alt	26	1	1	70	0.45	250	250	1	0.6	0.0309838667696593	-2.21318217297931	0.0368178270206885	0.0590403450640421	0.968
one_component	alt	27	1	1	100	0.45	250	250	1	1	0	-2.23398184617503	0.0160181538249691	0.016008504323295	0.988
phase_augmented	alt	27	1	1	100	0.45	250	250	1	1	0	-2.25161624647612	-0.00161624647611536	0.0243103639244174	0.98
one_component	alt	28	1	1	150	0.45	250	250	1	1	0	-2.25751781543325	-0.00751781543324981	0.0138645236857584	0.972
phase_augmented	alt	28	1	1	150	0.45	250	250	1	1	0	-2.24224080684275	0.00775919315724938	0.0205317414968055	0.972
one_component	alt	29	1	2	35	0.45	250	250	1	0.584	0.0311733219275713	-2.25816919340964	-0.00816919340964484	0.0563781342259385	0.988
phase_augmented	alt	29	1	2	35	0.45	250	250	1	0.356	0.0302829324867986	-2.19344245616552	0.0565575438344821	0.0916533061523213	0.944
one_component	alt	30	1	2	70	0.45	250	250	1	0.94	0.0150199866844149	-2.26798517013674	-0.0179851701367402	0.0368732079063773	0.976
phase_augmented	alt	30	1	2	70	0.45	250	250	1	0.64	0.0303578655376164	-2.2721221006902	-0.0221221006901997	0.0596389884439992	0.944
one_component	alt	31	1	2	100	0.45	250	250	1	1	0	-2.24311844550367	0.00688155449633454	0.016491129697689	0.984
phase_augmented	alt	31	1	2	100	0.45	250	250	1	1	0	-2.23569782429094	0.0143021757090627	0.0253345884639153	0.972
one_component	alt	32	1	2	150	0.45	250	250	1	1	0	-2.25016272985029	-0.00016272985029131	0.0134242972627506	0.972
phase_augmented	alt	32	1	2	150	0.45	250	250	1	1	0	-2.25541452240922	-0.00541452240922435	0.0202570104635732	0.976
one_component	alt	33	3	-1	35	0.45	250	250	1	0.604	0.0309311493481894	-2.24009313935776	0.00990686064223967	0.0581175037704709	0.988
phase_augmented	alt	33	3	-1	35	0.45	250	250	1	0.352	0.0302056948273004	-2.20287481158502	0.0471251884149804	0.0897353654652656	0.952
one_component	alt	34	3	-1	70	0.45	250	250	1	0.904	0.0186315860838523	-2.24643655992354	0.00356344007646214	0.0387697504103294	0.984
phase_augmented	alt	34	3	-1	70	0.45	250	250	1	0.636	0.0304305110045822	-2.28339167446864	-0.0333916744686382	0.06008833463436	0.948
one_component	alt	35	3	-1	100	0.45	250	250	1	1	0	-2.2390491229046	0.0109508770953957	0.0182624154190617	0.976
phase_augmented	alt	35	3	-1	100	0.45	250	250	1	1	0	-2.23431038985787	0.0156896101421258	0.0260282743050657	0.964
one_component	alt	36	3	-1	150	0.45	250	250	1	1	0	-2.27180672632264	-0.0218067263226409	0.0139189241454312	0.968
phase_augmented	alt	36	3	-1	150	0.45	250	250	1	1	0	-2.29546363420736	-0.0454636342073593	0.0201905802915967	0.968
one_component	alt	37	3	0	35	0.45	250	250	1	0.616	0.0307599739921867	-2.19618196773443	0.0538180322655659	0.0501915749502699	0.976
phase_augmented	alt	37	3	0	35	0.45	250	250	1	0.344	0.0300442340558051	-2.18343567004773	0.0665643299522718	0.0834788427857172	0.96
one_component	alt	38	3	0	70	0.45	250	250	1	0.928	0.0163482109112893	-2.26078804509313	-0.0107880450931312	0.0355906561527665	0.996
phase_augmented	alt	38	3	0	70	0.45	250	250	1	0.628	0.0305690039091888	-2.28925385209206	-0.03925385209206	0.0589956281154979	0.968
one_component	alt	39	3	0	100	0.45	250	250	1	1	0	-2.25039005301075	-0.000390053010749902	0.0162344078149406	0.98
phase_augmented	alt	39	3	0	100	0.45	250	250	1	1	0	-2.25565215392963	-0.00565215392962592	0.0235493395780675	0.972
one_component	alt	40	3	0	150	0.45	250	250	1	1	0	-2.22762806539474	0.0223719346052551	0.0144544127140911	0.956
phase_augmented	alt	40	3	0	150	0.45	250	250	1	1	0	-2.23273920684596	0.0172607931540414	0.0214162496552622	0.968
one_component	alt	41	3	1	35	0.45	250	250	1	0.56	0.0313942669925577	-2.19913272173804	0.0508672782619639	0.0526451912909858	0.992
phase_augmented	alt	41	3	1	35	0.45	250	250	1	0.312	0.0293022866001956	-2.20732136815358	0.0426786318464218	0.0850473527293871	0.968
one_component	alt	42	3	1	70	0.45	250	250	1	0.932	0.0159218089424537	-2.24682584832544	0.00317415167456314	0.0376079483154174	0.972
phase_augmented	alt	42	3	1	70	0.45	250	250	1	0.664	0.0298733325894518	-2.32412126636945	-0.074121266369445	0.0590616353428212	0.972
one_component	alt	43	3	1	100	0.45	250	250	1	1	0	-2.24561600793054	0.0043839920694646	0.0164339802964068	0.976
phase_augmented	alt	43	3	1	100	0.45	250	250	1	1	0	-2.22306577718528	0.0269342228147162	0.0233921255194953	0.984
one_component	alt	44	3	1	150	0.45	250	250	1	1	0	-2.25044654162644	-0.000446541626439423	0.0145208845477813	0.968
phase_augmented	alt	44	3	1	150	0.45	250	250	1	1	0	-2.23254958496348	0.0174504150365151	0.0203210080554418	0.972
one_component	alt	45	3	2	35	0.45	250	250	1	0.624	0.0306348820790941	-2.303431657359	-0.0534316573590039	0.0514866060509811	0.996
phase_augmented	alt	45	3	2	35	0.45	250	250	1	0.34	0.0299599732977184	-2.31417475823133	-0.0641747582313337	0.0853737727817242	0.964
one_component	alt	46	3	2	70	0.45	250	250	1	0.932	0.0159218089424537	-2.21681961435891	0.033180385641093	0.0335261087622921	0.988
phase_augmented	alt	46	3	2	70	0.45	250	250	1	0.612	0.0308192147855847	-2.23864951605959	0.0113504839404146	0.0510512563877013	0.996
one_component	alt	47	3	2	100	0.45	250	250	1	1	0	-2.26161938822766	-0.0116193882276594	0.0171319845254725	0.984
phase_augmented	alt	47	3	2	100	0.45	250	250	1	1	0	-2.23573970119315	0.0142602988068496	0.0241722374495124	0.988
one_component	alt	48	3	2	150	0.45	250	250	1	1	0	-2.27681952193888	-0.0268195219388807	0.0140666676122145	0.976
phase_augmented	alt	48	3	2	150	0.45	250	250	1	1	0	-2.25020009336924	-0.00020009336924165	0.0198080566738481	0.968
one_component	alt	49	6	-1	35	0.45	250	250	1	0.56	0.0313942669925577	-2.23021213138739	0.0197878686126081	0.0553152416787008	0.976
phase_augmented	alt	49	6	-1	35	0.45	250	250	1	0.344	0.0300442340558051	-2.23312805246284	0.0168719475371564	0.086680745329984	0.952
one_component	alt	50	6	-1	70	0.45	250	250	1	0.928	0.0163482109112893	-2.2850256859785	-0.0350256859785043	0.0357125757652258	0.996
phase_augmented	alt	50	6	-1	70	0.45	250	250	1	0.66	0.0299599732977184	-2.30592486960626	-0.0559248696062609	0.0562937449751402	0.968
one_component	alt	51	6	-1	100	0.45	250	250	1	1	0	-2.24347590001285	0.00652409998715298	0.0186098400962928	0.972
phase_augmented	alt	51	6	-1	100	0.45	250	250	1	1	0	-2.25741623224376	-0.00741623224375809	0.0261129140090226	0.976
one_component	alt	52	6	-1	150	0.45	250	250	1	1	0	-2.23118163457839	0.018818365421613	0.01353193107573	0.984
phase_augmented	alt	52	6	-1	150	0.45	250	250	1	1	0	-2.22725283872457	0.0227471612754271	0.0204069785775587	0.976
one_component	alt	53	6	0	35	0.45	250	250	1	0.568	0.031328964234395	-2.26955359121732	-0.0195535912173157	0.0533091913146138	0.992
phase_augmented	alt	53	6	0	35	0.45	250	250	1	0.32	0.0295025422633372	-2.19614699775895	0.0538530022410515	0.0839259721654967	0.968
one_component	alt	54	6	0	70	0.45	250	250	1	0.884	0.0202528022752408	-2.20474328502056	0.0452567149794358	0.0394798080094388	0.988
phase_augmented	alt	54	6	0	70	0.45	250	250	1	0.596	0.0310344324903807	-2.17716998509484	0.072830014905156	0.0636603937155143	0.948
one_component	alt	55	6	0	100	0.45	250	250	1	1	0	-2.2482863756882	0.00171362431179833	0.0151126903301033	1
phase_augmented	alt	55	6	0	100	0.45	250	250	1	1	0	-2.26181422805861	-0.0118142280586113	0.0232587889608552	0.988
one_component	alt	56	6	0	150	0.45	250	250	1	1	0	-2.24863271820491	0.00136728179509271	0.0144122347103707	0.972
phase_augmented	alt	56	6	0	150	0.45	250	250	1	1	0	-2.26300202219753	-0.0130020221975324	0.0205034760909547	0.964
one_component	alt	57	6	1	35	0.45	250	250	1	0.552	0.0314512956807824	-2.18654424505473	0.0634557549452666	0.0508514919410236	0.996
phase_augmented	alt	57	6	1	35	0.45	250	250	1	0.332	0.0297842911616174	-2.2094043419391	0.0405956580609041	0.0851266363171348	0.964
one_component	alt	58	6	1	70	0.45	250	250	1	0.904	0.0186315860838523	-2.26742617255106	-0.0174261725510632	0.0359979568613893	0.98
phase_augmented	alt	58	6	1	70	0.45	250	250	1	0.644	0.0302829324867986	-2.2416442776064	0.00835572239359772	0.0602235610100674	0.972
one_component	alt	59	6	1	100	0.45	250	250	1	1	0	-2.2368404027155	0.0131595972845018	0.0179510634099807	0.964
phase_augmented	alt	59	6	1	100	0.45	250	250	1	0.996	0.00399199198395989	-2.23370889636354	0.0162911036364641	0.0270629529423031	0.98
one_component	alt	60	6	1	150	0.45	250	250	1	1	0	-2.21459821797661	0.0354017820233876	0.0132025503936442	0.98
phase_augmented	alt	60	6	1	150	0.45	250	250	1	1	0	-2.23943663033622	0.0105633696637799	0.0197517226934134	0.988
one_component	alt	61	6	2	35	0.45	250	250	1	0.536	0.0315407038602502	-2.26104794866448	-0.0110479486644768	0.0620003387058208	0.96
phase_augmented	alt	61	6	2	35	0.45	250	250	1	0.352	0.0302056948273004	-2.30203390072904	-0.0520339007290409	0.0948679431114411	0.936
one_component	alt	62	6	2	70	0.45	250	250	1	0.908	0.0182796061226712	-2.25294522402126	-0.00294522402126418	0.0372445978480838	0.984
phase_augmented	alt	62	6	2	70	0.45	250	250	1	0.616	0.0307599739921867	-2.23733380055172	0.0126661994482786	0.0602918737207502	0.956
one_component	alt	63	6	2	100	0.45	250	250	1	1	0	-2.23546929450009	0.0145307054999142	0.0180736339620386	0.96
phase_augmented	alt	63	6	2	100	0.45	250	250	1	0.996	0.00399199198395989	-2.2196718258302	0.0303281741697976	0.0262551991834753	0.98
one_component	alt	64	6	2	150	0.45	250	250	1	1	0	-2.25816017504774	-0.00816017504773558	0.0145476220532552	0.98
phase_augmented	alt	64	6	2	150	0.45	250	250	1	1	0	-2.263420852956	-0.0134208529560049	0.0207990592331451	0.972
one_component	alt	65	10	-1	35	0.45	250	250	1	0.592	0.0310828570115426	-2.31904489377359	-0.0690448937735937	0.0566516756557284	0.988
phase_augmented	alt	65	10	-1	35	0.45	250	250	1	0.356	0.0302829324867986	-2.31421387550133	-0.0642138755013342	0.0910213221551749	0.944
one_component	alt	66	10	-1	70	0.45	250	250	1	0.888	0.0199455258140767	-2.24140161006381	0.00859838993619011	0.0364802716391025	0.988
phase_augmented	alt	66	10	-1	70	0.45	250	250	1	0.64	0.0303578655376164	-2.32092324806241	-0.0709232480624093	0.0585833554207035	0.964
