analysis	regime	cell_id	m_PB	m_TV	N	c_bm	n_reps	n_converged	conv_rate	power	mcse_power	mean_beta	bias	mcse_bias	coverage
one_component	alt	1	0	-1	35	0.45	1000	1000	1	0.621	0.0153414145371279	-2.25821209856817	-0.00821209856817218	0.0275192336679112	0.978
phase_augmented	alt	1	0	-1	35	0.45	1000	1000	1	0.37	0.0152676127799994	-2.30335029771254	-0.053350297712544	0.0440331113486325	0.958
one_component	alt	2	0	-1	70	0.45	1000	1000	1	0.928	0.00817410545564467	-2.25103297802837	-0.00103297802836799	0.0189863581105916	0.973
phase_augmented	alt	2	0	-1	70	0.45	1000	1000	1	0.632	0.0152504426165276	-2.25963200264672	-0.00963200264672004	0.0296471117374421	0.96
one_component	alt	3	0	-1	100	0.45	1000	1000	1	1	0	-2.25566775644703	-0.00566775644703377	0.00855558929093698	0.968
phase_augmented	alt	3	0	-1	100	0.45	1000	1000	1	0.999	0.000999499874937461	-2.24475187430805	0.00524812569194699	0.0123210868563789	0.972
one_component	alt	4	0	-1	150	0.45	1000	1000	1	1	0	-2.24750384715828	0.00249615284172222	0.00668788048361413	0.972
phase_augmented	alt	4	0	-1	150	0.45	1000	1000	1	1	0	-2.24962543969939	0.000374560300607563	0.01028448619449	0.967
one_component	alt	5	0	0	35	0.45	1000	1000	1	0.63	0.0152676127799994	-2.24139220749808	0.00860779250191568	0.0266346591525416	0.979
phase_augmented	alt	5	0	0	35	0.45	1000	1000	1	0.37	0.0152676127799994	-2.23265210735556	0.0173478926444379	0.0425682366775639	0.955
one_component	alt	6	0	0	70	0.45	1000	1000	1	0.918	0.00867617427210864	-2.22233274656294	0.0276672534370581	0.0190180327621514	0.976
phase_augmented	alt	6	0	0	70	0.45	1000	1000	1	0.606	0.0154519901630826	-2.20060465798407	0.0493953420159272	0.0300586316742868	0.96
one_component	alt	7	0	0	100	0.45	1000	1000	1	1	0	-2.24632723031361	0.00367276968638786	0.0081620400431637	0.978
phase_augmented	alt	7	0	0	100	0.45	1000	1000	1	1	0	-2.24716177815914	0.00283822184086269	0.0116528073413107	0.982
one_component	alt	8	0	0	150	0.45	1000	1000	1	1	0	-2.24963789543514	0.000362104564857635	0.00673816710249725	0.982
phase_augmented	alt	8	0	0	150	0.45	1000	1000	1	1	0	-2.24576809211945	0.00423190788055372	0.00998236857399904	0.978
one_component	alt	9	0	1	35	0.45	1000	1000	1	0.604	0.0154655746740947	-2.24572613932587	0.00427386067413016	0.0267727313465967	0.985
phase_augmented	alt	9	0	1	35	0.45	1000	1000	1	0.347	0.0150529399121899	-2.27121859499005	-0.0212185949900499	0.0429384047248938	0.955
one_component	alt	10	0	1	70	0.45	1000	1000	1	0.915	0.00881901355027874	-2.25097604158071	-0.000976041580705189	0.0190048503982971	0.979
phase_augmented	alt	10	0	1	70	0.45	1000	1000	1	0.631	0.0152590628807932	-2.26246173535169	-0.0124617353516867	0.0300720457420392	0.964
one_component	alt	11	0	1	100	0.45	1000	1000	1	1	0	-2.23836964515094	0.0116303548490588	0.00824886798536566	0.978
phase_augmented	alt	11	0	1	100	0.45	1000	1000	1	1	0	-2.24766579074447	0.00233420925553096	0.0122665851818259	0.975
one_component	alt	12	0	1	150	0.45	1000	1000	1	1	0	-2.25346129636671	-0.00346129636671355	0.00693639212100086	0.972
phase_augmented	alt	12	0	1	150	0.45	1000	1000	1	1	0	-2.26274879143969	-0.0127487914396895	0.0100466852135733	0.967
one_component	alt	13	0	2	35	0.45	1000	1000	1	0.622	0.0153334927527945	-2.295168046514	-0.0451680465140032	0.0276238240651723	0.982
phase_augmented	alt	13	0	2	35	0.45	1000	1000	1	0.389	0.0154168414404508	-2.31974662837699	-0.0697466283769903	0.0449485149446788	0.951
one_component	alt	14	0	2	70	0.45	1000	1000	1	0.898	0.00957057991973318	-2.24404135020622	0.00595864979378069	0.0192167752843334	0.979
phase_augmented	alt	14	0	2	70	0.45	1000	1000	1	0.619	0.0153570504980611	-2.23442072101261	0.0155792789873943	0.030787381069918	0.943
one_component	alt	15	0	2	100	0.45	1000	1000	1	1	0	-2.2417933514331	0.00820664856689968	0.00853518040398323	0.971
phase_augmented	alt	15	0	2	100	0.45	1000	1000	1	0.999	0.000999499874937461	-2.24362332323983	0.00637667676016829	0.0126831431653933	0.972
one_component	alt	16	0	2	150	0.45	1000	1000	1	1	0	-2.25233627246637	-0.00233627246637402	0.00696652904611411	0.972
phase_augmented	alt	16	0	2	150	0.45	1000	1000	1	1	0	-2.23778275844132	0.0122172415586772	0.0100768937281	0.976
one_component	alt	17	1	-1	35	0.45	1000	1000	1	0.611	0.0154168414404508	-2.26831546505529	-0.0183154650552861	0.0269874200484448	0.978
phase_augmented	alt	17	1	-1	35	0.45	1000	1000	1	0.361	0.0151881203577006	-2.28703141909179	-0.0370314190917873	0.042815679816233	0.953
one_component	alt	18	1	-1	70	0.45	1000	1000	1	0.923	0.00843036179532053	-2.23913733829445	0.0108626617055547	0.019308873706743	0.976
phase_augmented	alt	18	1	-1	70	0.45	1000	1000	1	0.625	0.0153093108923949	-2.21985104707028	0.0301489529297152	0.030869991684651	0.961
one_component	alt	19	1	-1	100	0.45	1000	1000	1	1	0	-2.24151648010937	0.00848351989063101	0.00868527375960675	0.964
phase_augmented	alt	19	1	-1	100	0.45	1000	1000	1	0.999	0.000999499874937461	-2.2422034008266	0.00779659917339837	0.0124767994098163	0.971
one_component	alt	20	1	-1	150	0.45	1000	1000	1	1	0	-2.24494694947247	0.00505305052752902	0.00689317952585755	0.973
phase_augmented	alt	20	1	-1	150	0.45	1000	1000	1	1	0	-2.24037308152554	0.00962691847446306	0.0101070942781174	0.977
one_component	alt	21	1	0	35	0.45	1000	1000	1	0.608	0.015438134602341	-2.2608992529633	-0.0108992529633034	0.028550263655792	0.973
phase_augmented	alt	21	1	0	35	0.45	1000	1000	1	0.351	0.0150930116279025	-2.26754423001956	-0.0175442300195634	0.0449294159252314	0.947
one_component	alt	22	1	0	70	0.45	1000	1000	1	0.912	0.00895857131466843	-2.23803019775975	0.0119698022402512	0.0193038520081081	0.982
phase_augmented	alt	22	1	0	70	0.45	1000	1000	1	0.624	0.015317441039547	-2.24440824501536	0.00559175498463782	0.0296597433222781	0.963
one_component	alt	23	1	0	100	0.45	1000	1000	1	1	0	-2.25262672059094	-0.00262672059094005	0.00870800624206325	0.966
phase_augmented	alt	23	1	0	100	0.45	1000	1000	1	1	0	-2.25852707676897	-0.00852707676896891	0.0124505061804877	0.971
one_component	alt	24	1	0	150	0.45	1000	1000	1	1	0	-2.24717469594679	0.00282530405321113	0.00698971997263341	0.969
phase_augmented	alt	24	1	0	150	0.45	1000	1000	1	1	0	-2.24252120910583	0.00747879089417491	0.0100171296829802	0.983
one_component	alt	25	1	1	35	0.45	1000	1000	1	0.626	0.0153011110707687	-2.28499650557178	-0.0349965055717774	0.0277586552062104	0.984
phase_augmented	alt	25	1	1	35	0.45	1000	1000	1	0.376	0.015317441039547	-2.28097000933457	-0.0309700093345704	0.0439270600891191	0.963
one_component	alt	26	1	1	70	0.45	1000	1000	1	0.908	0.00913980306133562	-2.26790204512	-0.017902045120004	0.0194568479603963	0.979
phase_augmented	alt	26	1	1	70	0.45	1000	1000	1	0.628	0.0152845019545944	-2.26237690033362	-0.0123769003336158	0.0307227340169103	0.958
one_component	alt	27	1	1	100	0.45	1000	1000	1	1	0	-2.25742492445552	-0.0074249244555249	0.00851211819544069	0.978
phase_augmented	alt	27	1	1	100	0.45	1000	1000	1	1	0	-2.26364320741474	-0.0136432074147437	0.0123564344213742	0.981
one_component	alt	28	1	1	150	0.45	1000	1000	1	1	0	-2.25751323109338	-0.00751323109338253	0.00714784685784135	0.974
phase_augmented	alt	28	1	1	150	0.45	1000	1000	1	1	0	-2.25424699583061	-0.00424699583060795	0.0103110942665292	0.973
one_component	alt	29	1	2	35	0.45	1000	1000	1	0.59	0.0155531347322654	-2.22454966675457	0.025450333245431	0.0282560875751239	0.983
phase_augmented	alt	29	1	2	35	0.45	1000	1000	1	0.341	0.0149906304070243	-2.20543596542925	0.044564034570747	0.0446341707819805	0.954
one_component	alt	30	1	2	70	0.45	1000	1000	1	0.93	0.00806845710157772	-2.27961501003021	-0.0296150100302097	0.0185846257620268	0.986
phase_augmented	alt	30	1	2	70	0.45	1000	1000	1	0.645	0.0151319199046255	-2.29531543630106	-0.0453154363010637	0.0295264485821257	0.959
one_component	alt	31	1	2	100	0.45	1000	1000	1	1	0	-2.24775788668801	0.00224211331198587	0.00835184816789898	0.977
phase_augmented	alt	31	1	2	100	0.45	1000	1000	1	1	0	-2.24552340467028	0.00447659532972455	0.012087921515593	0.977
one_component	alt	32	1	2	150	0.45	1000	1000	1	1	0	-2.24305124100469	0.00694875899531278	0.0069004852119561	0.976
phase_augmented	alt	32	1	2	150	0.45	1000	1000	1	1	0	-2.24916726391353	0.000832736086473496	0.0104169839543908	0.971
one_component	alt	33	3	-1	35	0.45	1000	1000	1	0.602	0.0154788888490098	-2.23594195822329	0.0140580417767073	0.0278157270305075	0.981
phase_augmented	alt	33	3	-1	35	0.45	1000	1000	1	0.357	0.0151509405648626	-2.24288593070192	0.00711406929808467	0.0440474177117077	0.952
one_component	alt	34	3	-1	70	0.45	1000	1000	1	0.916	0.00877177291087725	-2.228429670171	0.0215703298290051	0.0188841579195382	0.978
phase_augmented	alt	34	3	-1	70	0.45	1000	1000	1	0.624	0.015317441039547	-2.22704367933358	0.0229563206664172	0.0294441095619477	0.955
one_component	alt	35	3	-1	100	0.45	1000	1000	1	1	0	-2.23855403093115	0.0114459690688511	0.00866377608482759	0.972
phase_augmented	alt	35	3	-1	100	0.45	1000	1000	1	1	0	-2.24131122213375	0.00868877786624989	0.0130147446560928	0.968
one_component	alt	36	3	-1	150	0.45	1000	1000	1	1	0	-2.25756539209126	-0.00756539209125862	0.00682794442521915	0.973
phase_augmented	alt	36	3	-1	150	0.45	1000	1000	1	1	0	-2.26589428535433	-0.0158942853543262	0.00995212914880545	0.97
