analysis	c_bm_pb	N	n_reps	n_converged	conv_rate	mean_beta	bias	mcse_bias	power	coverage
lumped	0	70	1000	1000	1	-2.26604464543753	-0.0160446454375256	0.0236993797058999	0.85	0.962
decomposition	0	70	1000	1000	1	-2.28394189825253	-0.0339418982525337	0.0301710749539137	0.661	0.944
lumped	0	150	1000	1000	1	-2.2644126373403	-0.0144126373402962	0.0166354785837788	0.991	0.957
decomposition	0	150	1000	1000	1	-2.27235638180999	-0.0223563818099937	0.02137406074737	0.926	0.941
lumped	0.1	70	1000	1000	1	-2.08428237260661	0.165717627393389	0.024299012731474	0.776	0.937
decomposition	0.1	70	1000	1000	1	-2.2512918040834	-0.00129180408339913	0.0311840056515742	0.665	0.94
lumped	0.1	150	1000	1000	1	-2.08882331840473	0.161176681595266	0.0159264107155747	0.978	0.94
decomposition	0.1	150	1000	1000	1	-2.2417308692522	0.008269130747804	0.0204135499334954	0.931	0.949
lumped	0.2	70	1000	1000	1	-1.97176440440501	0.278235595594987	0.0239594653568976	0.738	0.941
decomposition	0.2	70	1000	1000	1	-2.32587358935421	-0.0758735893542104	0.0291764051576559	0.692	0.96
lumped	0.2	150	1000	1000	1	-1.91035530172808	0.33964469827192	0.0158512795674997	0.972	0.91
decomposition	0.2	150	1000	1000	1	-2.22870386959843	0.0212961304015691	0.0206959500223787	0.932	0.952
lumped	0.3	70	1000	1000	1	-1.79732897332796	0.45267102667204	0.0235723298728787	0.641	0.925
decomposition	0.3	70	1000	1000	1	-2.270185081981	-0.0201850819810048	0.0306470861525836	0.672	0.944
lumped	0.3	150	1000	1000	1	-1.77418118852715	0.475818811472847	0.0159252317599062	0.926	0.858
decomposition	0.3	150	1000	1000	1	-2.27636463530411	-0.026364635304112	0.0199839736379639	0.93	0.955
