analysis	c_bm_pb	m_PB	N	c_bm	n_reps	n_converged	conv_rate	mean_beta	bias	mcse_bias	power
one_component	0	0	70	0.45	1000	1000	1	-2.24379364975478	0.00620635024522143	0.0104770281443895	1
phase_augmented	0	0	70	0.45	1000	1000	1	-2.23593124441401	0.0140687555859875	0.0149169797821865	0.992
decomposition	0	0	70	0.45	1000	1000	1	-2.2317381515852	0.0182618484148001	0.0149738786459116	0.989
decomposition_blinded	0	0	70	0.45	1000	1000	1	-2.23216554825911	0.0178344517408928	0.0151077429394487	0.992
one_component	0	0	150	0.45	1000	1000	1	-2.25787588397653	-0.0078758839765336	0.00708303799859289	1
phase_augmented	0	0	150	0.45	1000	1000	1	-2.25394176821417	-0.00394176821417425	0.0101782121589133	1
decomposition	0	0	150	0.45	1000	1000	1	-2.24769293043756	0.00230706956244031	0.0104845763845085	1
decomposition_blinded	0	0	150	0.45	1000	1000	1	-2.24691302790298	0.0030869720970168	0.0105054135715715	1
one_component	0.15	0	70	0.45	1000	1000	1	-2.37391611161268	-0.123916111612676	0.00987165303435705	1
phase_augmented	0.15	0	70	0.45	1000	1000	1	-2.34524888561041	-0.0952488856104141	0.0145098963807805	0.997
decomposition	0.15	0	70	0.45	1000	1000	1	-2.21863573772157	0.031364262278426	0.0150451348558447	0.991
decomposition_blinded	0.15	0	70	0.45	1000	1000	1	-2.21895828193634	0.0310417180636611	0.0150695016360005	0.991
one_component	0.15	0	150	0.45	1000	1000	1	-2.36507181576071	-0.115071815760715	0.00655967107424846	1
phase_augmented	0.15	0	150	0.45	1000	1000	1	-2.36163296419379	-0.111632964193786	0.0102404931007698	1
decomposition	0.15	0	150	0.45	1000	1000	1	-2.1967837710106	0.0532162289894011	0.0101162845130298	1
decomposition_blinded	0.15	0	150	0.45	1000	1000	1	-2.19819197888508	0.051808021114919	0.0101111685396881	1
one_component	0.3	0	70	0.45	1000	1000	1	-2.09414024217037	0.155859757829632	0.00893628012334366	1
phase_augmented	0.3	0	70	0.45	1000	1000	1	-2.0658431717604	0.184156828239602	0.0127375442451797	0.998
decomposition	0.3	0	70	0.45	1000	1000	1	-1.79843994623117	0.451560053768835	0.0140258420795137	0.969
decomposition_blinded	0.3	0	70	0.45	1000	1000	1	-1.80162785972826	0.448372140271737	0.0141148779948098	0.976
one_component	0.3	0	150	0.45	1000	1000	1	-2.07548474456299	0.174515255437008	0.0061687765706774	1
phase_augmented	0.3	0	150	0.45	1000	1000	1	-2.05516424006641	0.194835759933585	0.00911242407018616	1
decomposition	0.3	0	150	0.45	1000	1000	1	-1.79438598390517	0.45561401609483	0.00965469442772939	1
decomposition_blinded	0.3	0	150	0.45	1000	1000	1	-1.79480371636399	0.455196283636013	0.00967360068654576	1
one_component	0.45	0	70	0.45	1000	1000	1	-1.75314617876936	0.496853821230644	0.00834784293552019	1
phase_augmented	0.45	0	70	0.45	1000	1000	1	-1.73125525864981	0.518744741350192	0.0119546704579375	0.99
decomposition	0.45	0	70	0.45	1000	1000	1	-1.42939453129526	0.820605468704744	0.0126207219247797	0.912
decomposition_blinded	0.45	0	70	0.45	1000	1000	1	-1.43130004535497	0.818699954645031	0.012617151312988	0.923
one_component	0.45	0	150	0.45	1000	1000	1	-1.74084392277856	0.509156077221444	0.00547128487111946	1
phase_augmented	0.45	0	150	0.45	1000	1000	1	-1.72013769286542	0.529862307134581	0.00808015787097213	1
decomposition	0.45	0	150	0.45	1000	1000	1	-1.42610676116115	0.823893238838847	0.00862715010844313	0.999
decomposition_blinded	0.45	0	150	0.45	1000	1000	1	-1.42533152120855	0.824668478791448	0.00860658463245318	0.999
