analysis	regime	cell_id	c_bm_pb	m_PB	N	c_bm	n_reps	n_converged	conv_rate	power	mcse_power	mean_beta	bias	mcse_bias	coverage
one_component	alt	1	0	0	70	0.45	100	100	1	0.91	0.0286181760425084	-2.18789161311123	0.0621083868887728	0.0597496389727536	0.96
phase_augmented	alt	1	0	0	70	0.45	100	100	1	0.58	0.0493558507170123	-2.18287666756885	0.0671233324311467	0.0945250071014675	0.96
one_component	alt	2	0	0	150	0.45	100	100	1	1	0	-2.24091817751514	0.00908182248485989	0.0219099658623352	0.96
phase_augmented	alt	2	0	0	150	0.45	100	100	1	1	0	-2.21499134614707	0.0350086538529286	0.0300028794484178	0.97
one_component	alt	3	0	6	70	0.45	100	100	1	0.91	0.0286181760425084	-2.36127928336792	-0.111279283367923	0.0625541019936298	0.98
phase_augmented	alt	3	0	6	70	0.45	100	100	1	0.69	0.0462493243193887	-2.41245741927362	-0.162457419273624	0.096712575693599	0.96
one_component	alt	4	0	6	150	0.45	100	100	1	1	0	-2.30827103082539	-0.0582710308253933	0.0197570390594683	0.98
phase_augmented	alt	4	0	6	150	0.45	100	100	1	1	0	-2.28584093660394	-0.0358409366039392	0.0308476070742854	0.98
one_component	alt	5	0.15	0	70	0.45	100	100	1	0.95	0.0217944947177034	-2.39223606560032	-0.142236065600325	0.0608828736592316	0.98
phase_augmented	alt	5	0.15	0	70	0.45	100	100	1	0.64	0.048	-2.27895307468058	-0.0289530746805839	0.0917685519433765	0.96
one_component	alt	6	0.15	0	150	0.45	100	100	1	1	0	-2.36114538732111	-0.111145387321106	0.0235463497361687	0.94
phase_augmented	alt	6	0.15	0	150	0.45	100	100	1	1	0	-2.27893032643984	-0.0289303264398413	0.0304124551916893	0.97
one_component	alt	7	0.15	6	70	0.45	100	100	1	0.92	0.0271293199325011	-2.37159161853394	-0.121591618533944	0.0648995257681052	0.97
phase_augmented	alt	7	0.15	6	70	0.45	100	100	1	0.66	0.047370877129308	-2.35767548281761	-0.107675482817606	0.102369909622175	0.95
one_component	alt	8	0.15	6	150	0.45	100	100	1	1	0	-2.37389515623011	-0.123895156230111	0.0223070163517242	0.97
phase_augmented	alt	8	0.15	6	150	0.45	100	100	1	1	0	-2.35535431250031	-0.105354312500309	0.0316110739031008	0.98
one_component	alt	9	0.3	0	70	0.45	100	100	1	0.97	0.017058722109232	-2.62408109165976	-0.374081091659764	0.0570950668348664	0.94
phase_augmented	alt	9	0.3	0	70	0.45	100	100	1	0.78	0.041424630354416	-2.56847723846708	-0.318477238467078	0.0929372320852615	0.94
one_component	alt	10	0.3	0	150	0.45	100	100	1	1	0	-2.08348394094869	0.166516059051314	0.0187849835567144	0.95
phase_augmented	alt	10	0.3	0	150	0.45	100	100	1	1	0	-2.04435530185544	0.205644698144563	0.0254449312469267	0.96
one_component	alt	11	0.3	6	70	0.45	100	100	1	0.95	0.0217944947177034	-2.68154565553157	-0.431545655531572	0.0614865131317341	0.94
phase_augmented	alt	11	0.3	6	70	0.45	100	100	1	0.76	0.0427083130081252	-2.60187081629095	-0.351870816290951	0.103338733536143	0.91
one_component	alt	12	0.3	6	150	0.45	100	100	1	1	0	-2.07682212990952	0.173177870090483	0.0187283864338551	0.94
phase_augmented	alt	12	0.3	6	150	0.45	100	100	1	1	0	-2.0285386772448	0.221461322755203	0.0240180672974977	0.95
one_component	alt	13	0.45	0	70	0.45	100	100	1	0.94	0.0237486841740758	-2.22892209010233	0.0210779098976692	0.057557932987994	0.98
phase_augmented	alt	13	0.45	0	70	0.45	100	100	1	0.67	0.047021271782035	-2.14221672347345	0.107783276526552	0.0916097281497529	0.94
one_component	alt	14	0.45	0	150	0.45	100	100	1	1	0	-1.74474004547438	0.50525995452562	0.0172588808565781	0.27
phase_augmented	alt	14	0.45	0	150	0.45	100	100	1	1	0	-1.73730825102916	0.512691748970838	0.0265818691382391	0.59
one_component	alt	15	0.45	6	70	0.45	100	100	1	0.97	0.017058722109232	-2.30859147433399	-0.0585914743339884	0.0547507813815041	1
phase_augmented	alt	15	0.45	6	70	0.45	100	100	1	0.78	0.041424630354416	-2.3598700047845	-0.109870004784495	0.0912897987932445	0.92
one_component	alt	16	0.45	6	150	0.45	100	100	1	1	0	-1.74143040302526	0.508569596974744	0.0169711184771075	0.26
phase_augmented	alt	16	0.45	6	150	0.45	100	100	1	1	0	-1.71932721805846	0.530672781941544	0.0243934085242119	0.61
one_component	null	17	0	0	70	0	100	100	1	0.03	0.017058722109232	0.0622213777961201	0.0622213777961201	0.0636139922668886	0.97
phase_augmented	null	17	0	0	70	0	100	100	1	0.05	0.0217944947177034	0.149045094495508	0.149045094495508	0.0935952381740421	0.95
one_component	null	18	0	0	150	0	100	100	1	0.04	0.0195959179422654	0.011216165376364	0.011216165376364	0.0247672368578218	0.96
phase_augmented	null	18	0	0	150	0	100	100	1	0.03	0.017058722109232	-0.000438634812799892	-0.000438634812799892	0.034771644772841	0.97
