design,n_participants,biomarker_correlation,carryover_t1half,correlation,p_value,significant,iteration
hybrid,20,0.4,0,0.8995340585753484,6.843181425998836e-8,TRUE,1
hybrid,20,0.4,0,0.7728741336877286,6.471439900002958e-5,TRUE,2
hybrid,20,0.4,0,0.8931141957256741,1.1664852213732875e-7,TRUE,3
hybrid,20,0.4,0,0.7729921196512123,6.444266301413396e-5,TRUE,4
hybrid,20,0.4,0,0.7279104086479548,2.7457137231656385e-4,TRUE,5
hybrid,20,0.4,0,0.8134682616712685,1.290544468424149e-5,TRUE,6
hybrid,20,0.4,0,0.7851801827590473,4.115672988240244e-5,TRUE,7
hybrid,20,0.4,0,0.686678734576022,8.258295077254609e-4,TRUE,8
hybrid,20,0.4,0,0.7511105358635193,1.351864269922776e-4,TRUE,9
hybrid,20,0.4,0,0.7279159042800207,2.745275797077661e-4,TRUE,10
crossover,20,0.4,0,0.7805220652488787,4.901057972203997e-5,TRUE,1
crossover,20,0.4,0,0.8312540662990671,5.611928317137628e-6,TRUE,2
crossover,20,0.4,0,0.7827928406849722,4.503406204155373e-5,TRUE,3
crossover,20,0.4,0,0.6721366846844575,0.0011696221337199942,TRUE,4
crossover,20,0.4,0,0.7337127428786746,2.3152719692859779e-4,TRUE,5
crossover,20,0.4,0,0.7434125466528253,1.72409086388349e-4,TRUE,6
crossover,20,0.4,0,0.8500078854581113,2.0894024620310676e-6,TRUE,7
crossover,20,0.4,0,0.6522655024409978,0.001828074045759116,TRUE,8
crossover,20,0.4,0,0.8646641546291781,8.759465173193778e-7,TRUE,9
crossover,20,0.4,0,0.8284328033239221,6.444293645932418e-6,TRUE,10
hybrid,20,0.4,1.5,0.8562048272219542,1.4635990640905557e-6,TRUE,1
hybrid,20,0.4,1.5,0.8360542964530006,4.409332767866389e-6,TRUE,2
hybrid,20,0.4,1.5,0.8464977660588187,2.538529601595901e-6,TRUE,3
hybrid,20,0.4,1.5,0.8427341635491244,3.1115026757713767e-6,TRUE,4
hybrid,20,0.4,1.5,0.7912341540435646,3.258959293990928e-5,TRUE,5
hybrid,20,0.4,1.5,0.8113421376136865,1.4173229846658255e-5,TRUE,6
hybrid,20,0.4,1.5,0.7214730189708771,3.301450704175626e-4,TRUE,7
hybrid,20,0.4,1.5,0.6907659062903083,7.462635604144558e-4,TRUE,8
hybrid,20,0.4,1.5,0.7963866199911357,2.6558668238283903e-5,TRUE,9
hybrid,20,0.4,1.5,0.666012245991045,0.0013468227218327337,TRUE,10
crossover,20,0.4,1.5,0.8693983602387018,6.473419787511525e-7,TRUE,1
crossover,20,0.4,1.5,0.6017231966878913,0.0050030766115838074,TRUE,2
crossover,20,0.4,1.5,0.6857727756178142,8.44404357083446e-4,TRUE,3
crossover,20,0.4,1.5,0.7363207065282447,2.1414549555685245e-4,TRUE,4
crossover,20,0.4,1.5,0.721069489820796,3.3392664311920835e-4,TRUE,5
crossover,20,0.4,1.5,0.485402426924176,0.030041929429571287,TRUE,6
crossover,20,0.4,1.5,0.7096773237742813,4.5703239894528784e-4,TRUE,7
crossover,20,0.4,1.5,0.7507136513917796,1.369208271773799e-4,TRUE,8
crossover,20,0.4,1.5,0.8460733178411691,2.598162683899397e-6,TRUE,9
crossover,20,0.4,1.5,0.7884285035131786,3.6345859277665845e-5,TRUE,10
hybrid,20,0.6,0,0.7658516238655565,8.27729945515215e-5,TRUE,1
hybrid,20,0.6,0,0.894401564245228,1.051046890904102e-7,TRUE,2
hybrid,20,0.6,0,0.8775761675243636,3.731507873764287e-7,TRUE,3
hybrid,20,0.6,0,0.9239512118928306,6.117164322249097e-9,TRUE,4
hybrid,20,0.6,0,0.8010749349665511,2.1935618726525265e-5,TRUE,5
hybrid,20,0.6,0,0.808675343999654,1.5915057653463925e-5,TRUE,6
hybrid,20,0.6,0,0.8417895621198148,3.2718752812044314e-6,TRUE,7
hybrid,20,0.6,0,0.7881259351256239,3.677243103080038e-5,TRUE,8
hybrid,20,0.6,0,0.7645785332152206,8.64727308720567e-5,TRUE,9
hybrid,20,0.6,0,0.9075623777995974,3.332758237198319e-8,TRUE,10
