design,n_participants,biomarker_correlation,carryover_t1half,power,mean_correlation,n_iterations
crossover,20,0.4,0,1,0.7739201292301084,10
crossover,20,0.4,1.5,1,0.7194579752338033,10
crossover,20,0.6,0,1,0.834625531133086,10
crossover,20,0.6,1.5,1,0.8303781223422366,10
crossover,50,0.4,0,1,0.7429774260883208,10
crossover,50,0.4,1.5,1,0.7463902689870436,10
crossover,50,0.6,0,1,0.8280516663282746,10
crossover,50,0.6,1.5,1,0.8036150196920996,10
hybrid,20,0.4,0,1,0.7830778535437796,10
hybrid,20,0.4,1.5,1,0.7858705136183515,10
hybrid,20,0.6,0,1,0.8373587254754441,10
hybrid,20,0.6,1.5,1,0.8377966061566884,10
hybrid,50,0.4,0,1,0.8053686365232818,10
hybrid,50,0.4,1.5,1,0.8063687163516213,10
hybrid,50,0.6,0,1,0.8591460148596863,10
hybrid,50,0.6,1.5,1,0.8483707367253874,10
