"t1half","c_bm_a","c_bm_b","power","mcse_power"
0,0,0,0.052,0.00702111102319284
0,0.22,0,0.208,0.0128349522788361
0,0.45,0,0.548,0.0157383607786834
0,0,0.22,0.182,0.0122014753206323
0,0.22,0.22,0.554,0.0157189058143371
0,0.45,0.22,0.868,0.0107040179372047
0,0,0.45,0.591,0.0155473148807117
0,0.22,0.45,0.879,0.0103130499853341
0,0.45,0.45,0.987,0.00358203852575597
0.5,0,0,0.048,0.00675988165576883
0.5,0.22,0,0.114,0.0100500746265886
0.5,0.45,0,0.308,0.0145991780590552
0.5,0,0.22,0.09,0.00904986187739901
0.5,0.22,0.22,0.303,0.0145324120503102
0.5,0.45,0.22,0.536,0.0157703519301251
0.5,0,0.45,0.286,0.0142899965010493
0.5,0.22,0.45,0.554,0.0157189058143371
0.5,0.45,0.45,0.783,0.0130349913693872
1,0,0,0.04,0.00619677335393187
1,0.22,0,0.087,0.00891240708226459
1,0.45,0,0.28,0.0141985914794391
1,0,0.22,0.085,0.00881901355027874
1,0.22,0.22,0.277,0.0141517136771488
1,0.45,0.22,0.523,0.0157946509932952
1,0,0.45,0.287,0.0143049292203771
1,0.22,0.45,0.54,0.0157607106438764
1,0.45,0.45,0.751,0.0136747577675073
