"t1half","c_bm_a","c_bm_b","power","mcse_power"
0,0,0,0.037,0.00596917079668525
0,0.22,0,0.127,0.0105295299040366
0,0.45,0,0.452,0.0157383607786834
0,0,0.22,0.125,0.0104582503316759
0,0.22,0.22,0.42,0.0156076904121013
0,0.45,0.22,0.781,0.0130781879478772
0,0,0.45,0.456,0.0157500476189756
0,0.22,0.45,0.8,0.0126491106406735
0,0.45,0.45,0.957,0.00641490451994416
0.5,0,0,0.036,0.00589101010014412
0.5,0.22,0,0.119,0.0102390917565964
0.5,0.45,0,0.456,0.0157500476189756
0.5,0,0.22,0.108,0.0098150904224057
0.5,0.22,0.22,0.375,0.0153093108923949
0.5,0.45,0.22,0.742,0.0138360398958662
0.5,0,0.45,0.332,0.0148921455808087
0.5,0.22,0.45,0.7,0.0144913767461894
0.5,0.45,0.45,0.942,0.00739161687318817
1,0,0,0.034,0.00573096850453743
1,0.22,0,0.108,0.0098150904224057
1,0.45,0,0.389,0.0154168414404508
1,0,0.22,0.083,0.00872416185085994
1,0.22,0.22,0.299,0.0144775343204566
1,0.45,0.22,0.642,0.0151603430040352
1,0,0.45,0.273,0.0140879735945238
1,0.22,0.45,0.621,0.0153414145371279
1,0.45,0.45,0.87,0.0106348483769163
