"t1half","c_bm_a","c_bm_b","power","mcse_power"
0,0,0,0.028,0.0052168956286282
0,0.22,0,0.21,0.0128802173894698
0,0.45,0,0.686,0.0146766481186952
0,0,0.22,0.2,0.0126491106406735
0,0.22,0.22,0.626,0.0153011110707687
0,0.45,0.22,0.942,0.00739161687318817
0,0,0.45,0.667,0.0149033888763596
0,0.22,0.45,0.946,0.00714730718522718
0,0.45,0.45,0.995,0.00223047080231955
0.5,0,0,0.035,0.00581162627841812
0.5,0.22,0,0.19,0.0124056438768812
0.5,0.45,0,0.646,0.0151223014121528
0.5,0,0.22,0.152,0.0113532374237483
0.5,0.22,0.22,0.533,0.0157769135131052
0.5,0.45,0.22,0.904,0.00931579304192617
0.5,0,0.45,0.499,0.0158113566780337
0.5,0.22,0.45,0.897,0.00961202372032029
0.5,0.45,0.45,0.986,0.00371537346709587
1,0,0,0.028,0.0052168956286282
1,0.22,0,0.174,0.0119884944842962
1,0.45,0,0.584,0.0155866609637857
1,0,0.22,0.087,0.00891240708226459
1,0.22,0.22,0.414,0.0155757503832079
1,0.45,0.22,0.835,0.0117377595817941
1,0,0.45,0.309,0.0146122893483533
1,0.22,0.45,0.719,0.014214042352547
1,0.45,0.45,0.96,0.00619677335393187
