architecture	design	N	t1half	c.bm	n_reps	n_converged	conv_rate	power	mcse_power	mean_beta	sd_beta	mcse_mean_beta
mean_moderation	CO	70	0	0	1000	1000	1	0.064	0.00773976743836661	-0.00579117241591827	0.0943648788110093	0.00298407948168551
mean_moderation	CO	70	0.5	0	1000	1000	1	0.066	0.00785136930732468	0.00145947974933173	0.0951504934941584	0.00300892279930574
mean_moderation	CO	70	1	0	1000	1000	1	0.069	0.00801492358042171	0.000675269118962088	0.0974785930744617	0.00308254377224014
mean_moderation	Hybrid	140	0	0	1000	1000	1	0.044	0.00648567652600714	0.000360972160615873	0.0549447502040007	0.00173750556113644
mean_moderation	Hybrid	140	0.5	0	1000	1000	1	0.043	0.00641490451994416	0.0017017825867362	0.0605863957049237	0.00191591005647802
mean_moderation	Hybrid	140	1	0	400	400	1	0.045	0.0103652062208139	-0.000379623268422039	0.0666995992782924	0.00333497996391462
mean_moderation	OL+BDC	70	0	0	1000	1000	1	0.022	0.00463853425124791	-0.00169542197241315	0.0762392637622281	0.00241089720622978
mean_moderation	OL+BDC	70	0.5	0	1000	1000	1	0.021	0.00453420334788814	0.000734081799175286	0.0875376462055085	0.00276818343019403
mvn	CO	70	0	0	1000	1000	1	0.061	0.00756828910652864	0.00281136151386359	0.0915142027600337	0.00289393318976174
mvn	CO	70	0.5	0	1000	1000	1	0.069	0.00801492358042171	-0.000449244241047631	0.0948684240440405	0.0030000029800985
mvn	CO	70	1	0	1000	1000	1	0.074	0.00827792244467173	-0.00159326898401149	0.0992095436053962	0.00313728123418845
mvn	Hybrid	140	0	0	1000	1000	1	0.034	0.00573096850453743	0.00025346994146212	0.0534425349467673	0.0016900013436493
mvn	Hybrid	140	0.5	0	1000	1000	1	0.045	0.00655553201502365	0.00450925679899771	0.0589987763124	0.00186570512309974
mvn	Hybrid	140	1	0	1000	1000	1	0.041	0.00627048642451285	0.00176225039378023	0.0658720978551557	0.00208305863475784
mvn	OL+BDC	70	0	0	1000	1000	1	0.032	0.00556560868189635	0.000978992731264645	0.0792432074184366	0.00250589024539411
mvn	OL+BDC	70	0.5	0	1000	1000	1	0.029	0.00530650544143695	-0.000241428917556601	0.0887672038078736	0.00280706545557252
