# Morris ADEMP summary: 02-carryover-sensitivity
# run_started: 2026-05-08 05:51:56
# total_wall_sec: 435.9
# mode_used: mclapply mc.cores=8
# datasets_target: 4800
# datasets_done: 4800
# fits_done: 14400
# time_was_binding: FALSE
#
analysis_spec	c.bm	N	t1half_dgp	n_reps	power	mcse_power	mean_beta	sd_beta	mcse_mean_beta	conv_rate
A1_binary	0	35	0.5	600	0.0216666666666667	0.0059437953955115	0.044981905469595	0.811267860736264	0.0331198717253855	1
A2_matched	0	35	0.5	600	0.0216666666666667	0.0059437953955115	0.0519576681152169	0.888950031965854	0.0362912330857856	1
A3_lagged	0	35	0.5	600	0.03	0.00696419413859206	0.0442940985750766	0.813027401508729	0.0331917046766215	1
A1_binary	0	35	1	600	0.0116666666666667	0.00438378747119344	-0.0261137074698895	0.744671522469962	0.0304010876005484	1
A2_matched	0	35	1	600	0.00333333333333333	0.0023530909538386	-0.0512402949575614	0.876502714089058	0.0357830734613794	1
A3_lagged	0	35	1	600	0.0266666666666667	0.006577177149755	-0.0288134910366	0.741389429296565	0.0302670967078302	1
A1_binary	0	70	0.5	600	0.015	0.0049623583103198	-0.00841318687424024	0.525334948269787	0.0214467094552063	1
A2_matched	0	70	0.5	600	0.0133333333333333	0.00468251277904566	-0.00845248188109978	0.57129244793706	0.023322916522522	1
A3_lagged	0	70	0.5	600	0.0216666666666667	0.0059437953955115	-0.00870044995859154	0.52703529811957	0.0215161259471427	1
A1_binary	0	70	1	600	0.0366666666666667	0.00767270293771174	0.00568535299508432	0.592630884822226	0.024194054560476	1
A2_matched	0	70	1	600	0.015	0.0049623583103198	0.0246198588842594	0.69698211386006	0.0284541756467259	1
A3_lagged	0	70	1	600	0.0533333333333333	0.00917322997357791	0.00176825057941934	0.593781399179629	0.0242410241124324	1
A1_binary	0.45	35	0.5	600	0.581666666666667	0.0201382950104006	-1.9268582788647	0.746655065856631	0.0304820654202153	1
A2_matched	0.45	35	0.5	600	0.608333333333333	0.0199275307422039	-2.2345036835123	0.814484094982775	0.0332511739386725	1
A3_lagged	0.45	35	0.5	600	0.613333333333333	0.0198811282189734	-1.9217865226266	0.747134030675837	0.0305016190770786	1
A1_binary	0.45	35	1	600	0.4	0.02	-1.59069595509998	0.761877676249322	0.0311035258871366	1
A2_matched	0.45	35	1	600	0.456666666666667	0.0203356100729001	-2.23745044392	0.870741136828696	0.0355478580546876	1
A3_lagged	0.45	35	1	600	0.441666666666667	0.0202730207509974	-1.58607118701077	0.76322507196808	0.0311585330870128	1
A1_binary	0.45	70	0.5	600	0.93	0.0104163333279998	-1.95984126394683	0.479032995075082	0.0195564401315186	1
A2_matched	0.45	70	0.5	600	0.953333333333333	0.00861093189777669	-2.26599716084709	0.512430345197692	0.0209198812408765	1
A3_lagged	0.45	70	0.5	600	0.943333333333333	0.00943888725394008	-1.96350454776742	0.479259240497257	0.0195656765622014	1
A1_binary	0.45	70	1	600	0.736666666666667	0.0179809570049765	-1.61073125314074	0.502006519343905	0.0204943303323863	1
A2_matched	0.45	70	1	600	0.873333333333333	0.013578305136149	-2.26923936815241	0.573001866112661	0.0233927032273097	1
A3_lagged	0.45	70	1	600	0.801666666666667	0.0162786783975349	-1.60643661620606	0.503060107920155	0.020537342905897	1
