c_br	N	n_reps	n_converged	conv_rate	power	mcse_power	mean_beta	sd_beta	mcse_mean_beta
0	25	500	500	1	0.184	0.0173288199251998	1.28274391733903	1.22073010227587	0.0545927098173825
0.15	25	500	500	1	0.192	0.0176145394489893	1.26054454783985	1.17714018420077	0.0526433094183908
0.3	25	500	500	1	0.18	0.0171813852759316	1.21935474012497	1.14599576159569	0.0512504884970922
0.45	25	500	500	1	0.188	0.0174731794473702	1.19832219184736	1.12154462019076	0.0501570002109142
0.6	25	500	500	1	0.168	0.0167198086113448	1.03891849415215	1.07001301806857	0.0478524369042207
0	35	500	500	1	0.22	0.0185256578830551	1.17863671942157	1.07055777189126	0.0478767990357913
0.15	35	500	500	1	0.236	0.0189896814085966	1.17701613003146	1.01530702454774	0.0454059104984359
0.3	35	500	500	1	0.286	0.0202091068580479	1.32036341372129	1.00780655925767	0.0450704794934064
0.45	35	500	500	1	0.22	0.0185256578830551	1.14122664445974	0.930219601449594	0.0416006852568811
0.6	35	500	500	1	0.268	0.0198078772209442	1.13820262517091	0.945700813268313	0.0422930260968957
0	50	500	500	1	0.326	0.0209630150503214	1.28817008570175	0.849482852552059	0.0379900280805367
0.15	50	500	500	1	0.308	0.0206463556106156	1.22312634439992	0.831198195818745	0.0371723133725179
0.3	50	500	500	1	0.266	0.0197607692157972	1.13385302484255	0.794076163652453	0.0355121656247827
0.45	50	500	500	1	0.338	0.0211544794310803	1.20305077321436	0.83866136990226	0.037506076664091
0.6	50	500	500	1	0.298	0.0204546327270865	1.11209004675887	0.736676617312145	0.0329451798748911
