design	N	dropout_pattern	n_reps	n_converged	conv_rate	power	mcse_power	mean_dropout_fraction	mean_beta	sd_beta	mcse_mean_beta
OL	35	MCAR_25	500	500	1	0.046	0.00936845771725528	0.246628571428571	-0.101938204793822	0.0813101765874989	0.00363630164224319
OL	35	biased_25	500	500	1	0.034	0.00810481338464989	0.2504	-0.0934493695330163	0.0789310656547332	0.00352990456680965
OL	35	biased_40	500	500	1	0.044	0.00917213170424411	0.3976	-0.10133128462888	0.101134736312524	0.00452288290562639
OL	35	none	500	500	1	0.022	0.00655987804764692	0	-0.0925802975239984	0.0690249163688866	0.00308688810284137
OLBDC	70	MCAR_25	500	500	1	0.912	0.0126693330526907	0.2534	-2.48308855661604	0.67967051929569	0.0303957896689549
OLBDC	70	biased_25	500	500	1	0.924	0.0118510759005248	0.252	-2.46569915128175	0.658054682824597	0.0294291000741572
OLBDC	70	biased_40	500	500	1	0.894	0.0137669168661687	0.4024	-2.44886183389425	0.659744477660378	0.0295046699965739
OLBDC	70	none	500	500	1	0.95	0.00974679434480897	0	-2.4796379320577	0.627508386264718	0.0280630281627821
hybrid	140	MCAR_25	500	500	1	1	0	0.250485714285714	-2.45968790311701	0.459518192661984	0.0205502783138008
hybrid	140	biased_25	500	500	1	1	0	0.250185714285714	-2.46185410570373	0.424157212390672	0.0189688872010472
hybrid	140	biased_40	500	500	1	0.994	0.00345369367489359	0.400242857142857	-2.45477280107216	0.453537598455253	0.020282818009959
hybrid	140	none	500	500	1	0.998	0.00199799899899875	0	-2.4646683446306	0.411235875481758	0.018391027447277
traditional_crossover	70	MCAR_25	500	500	1	0.81	0.0175442298206561	0.2508	-2.28106651722086	0.802776535971701	0.0359012581034906
traditional_crossover	70	biased_25	500	500	1	0.824	0.017030795636141	0.249171428571429	-2.25044154808627	0.777661718861225	0.0347780893374606
traditional_crossover	70	biased_40	500	500	1	0.768	0.0188772879408034	0.402114285714286	-2.20629587997739	0.779080494201238	0.034841538899562
traditional_crossover	70	none	500	500	1	0.854	0.015791390059143	0	-2.24115666623125	0.766201164918168	0.034265557783931
