design	t1half	c.bm	n_reps	n_converged	conv_rate	power	mcse_power	mean_beta	sd_beta
CO	0	0	300	300	1	0.0133333333333333	0.00662207307811171	0.000349859372727941	0.0677794409334807
CO	0.5	0	300	300	1	0.0333333333333333	0.010363754503432	0.00546614616327504	0.0739286264800015
CO	1	0	300	300	1	0.0433333333333333	0.0117552194868996	0.00730698006086719	0.0785813895341923
CO	0	0.45	300	300	1	0.623333333333333	0.0279755183978712	-0.176814937305963	0.0694690841693437
CO	0.5	0.45	300	300	1	0.633333333333333	0.027822186723442	-0.175262104029253	0.0722306699316521
CO	1	0.45	300	300	1	0.596666666666667	0.0283228738864047	-0.169884687887238	0.0738508939735101
Hybrid	0	0	300	300	1	0.05	0.0125830573921179	-0.00277301837669666	0.0583081964807551
Hybrid	0.5	0	300	300	1	0.05	0.0125830573921179	-0.0072094399528879	0.0607906063642371
Hybrid	1	0	300	300	1	0.04	0.0113137084989848	0.00405445998865878	0.0597404117445232
Hybrid	0	0.45	300	300	1	0.856666666666667	0.0202310725443882	-0.178986504688811	0.0533267849376761
Hybrid	0.5	0.45	300	300	1	0.84	0.0211660104885167	-0.174487640361737	0.0569407532286604
Hybrid	1	0.45	300	300	1	0.75	0.025	-0.16045591758342	0.057527971404973
OL+BDC	0	0	300	300	1	0.0266666666666667	0.00930153312731393	0.00320305733061995	0.0659916200224673
OL+BDC	0.5	0	300	300	1	0.0466666666666667	0.0121776966745069	0.00260622582334159	0.0689836440259127
OL+BDC	1	0	300	300	1	0.03	0.0098488578017961	-0.00134600922486643	0.0638292638919719
OL+BDC	0	0.45	300	300	1	0.826666666666667	0.0218547392944787	-0.18953918900851	0.0633054252524149
OL+BDC	0.5	0.45	300	300	1	0.763333333333333	0.0245394617949373	-0.176269780296128	0.0616285491827545
OL+BDC	1	0.45	300	300	1	0.67	0.0271477439209965	-0.160231988957439	0.0672877355837796
